names(df)
HWEXERCISE
HWSMOKER
HWBMI
HWALCOHOL
HWBINGE
HWALCHODRIVE
HWDIET
HWSLEEP
HWRISKYHEALTH
HWSEATBELT
HWSMOKEQUIT
HWHEALTHINSNO
HWATPHEALTH
HWCAREGIVER
HWMULTIPCP
HWPERSDOCNO
HWMEDADVANTAGE
HWMEDSUPP
HWCOPD
HWFOODDESERT
DIMINF
DIMFINO
DIMTECH
DIMSOCCN
DIMSUCAS
DIMCEXP
DIMLEARN
DIMCUL
DIMFAM
DIMNOV
DIMREL
DIMNAT
DIMENV
DIMHCOMM
DIMAA
MB4G
MTCHLVL
Client_First_Name
Client_Middle
Client_Last_Name
Client_Suffix
Client_Member_Name
Client_Address_Line_1
Client_Address_Line_2
Client_City_Name
Client_State_Postal_Code
Client_Zip_Code
Client_Phone_Number
Client_Birth_Date
NPID
Contract
PBP.ID
Member.Id
Src.Member.Id
Member.Name
Address.Line.1
Address.Line.2
City.Nm
State.Postal.Cd
Zip.Cd
Mbr.Phone.Nbr
Birth.Dt
Eff.Dt
Term.Dt
Sales.Channel.Nm
Writing.Agent.Id
Writing.Agent.Nm
Count.of.Calls
Type.of.Customer.Service
VolID
Voluntary.Disenrollment
FILLER_1
FILLER_2
FILLER_3
FILLER_4
Client_FIRST_NM
Client_LAST_NM
Client_BIRTH_DT
Client_ADDRESS_LINE_1_TXT
Client_ADDRESS_LINE_2_TXT
Client_CITY_NM
Client_STATE_POSTAL_CD
Client_ZIP_CD
Client_KEYCODE
CMS_CNTRCT_NBR
PBP_ID
MEMBER_ID
SRC_MEMBER_ID
ORIG_COVG_EFF_DT
COVG_CNCL_DT
FIRST_NM
LAST_NM
BIRTH_DT
ADDRESS_LINE_1_TXT
ADDRESS_LINE_2_TXT
CITY_NM
STATE_POSTAL_CD
ZIP_CD
TOH_NM
SALES_CHANNEL_NM
BROKER_FIRST_NAME
BROKER_LAST_NAME
BROKER_NPN
Lapsed
